scen,Pothole,rankm,Drainage,Tillage,lulc.pothole,lulc.field,capa.ratio,max.h2oshed.relief,max.flow.path,max.depth,catm3,catm6
NoTill,hen,1.705310032,none,notill,CS,CS,6.9,4.48,229.8,0.5,c,e
NoTillRetired,hen,5.597699811,none,notill,R,CS,6.9,4.48,229.8,0.5,a,c
PlantDate1,hen,2.192136055,none,conventional,CS,CS,6.9,4.48,229.8,0.5,b,d
PlantDate2,hen,2.227657666,none,conventional,CS,CS,6.9,4.48,229.8,0.5,b,d
PlantDate3,hen,2.216791012,none,conventional,CS,CS,6.9,4.48,229.8,0.5,b,d
PlantDate4,hen,2.013929942,none,conventional,CS,CS,6.9,4.48,229.8,0.5,c,e
RetiredAll,hen,1.070986611,none,N/A,R,R,6.9,4.48,229.8,0.5,c,e
RetiredPothole,hen,7.461343178,none,conventional,R,CS,6.9,4.48,229.8,0.5,a,b
Base,lettuce,2.882025071,low,conventional,CS,CS,6.3,5.39,239.8,0.8,b,d
BaseRetired,lettuce,2.360915766,low,conventional,R,CS,6.3,5.39,239.8,0.8,b,d
BaseRetiredCT,lettuce,2.32139754,low,contill,CS,CS,6.3,5.39,239.8,0.8,b,d
BaseRetiredNT,lettuce,1.924984621,low,notill,R,CS,6.3,5.39,239.8,0.8,c,e
ConTill,lettuce,2.594696175,low,contill,CS,CS,6.3,5.39,239.8,0.8,b,d
ConTillDrain1,lettuce,2.594696175,low,contill,CS,CS,6.3,5.39,239.8,0.8,b,d
ConTillDrain2,lettuce,1.639110641,medium,contill,CS,CS,6.3,5.39,239.8,0.8,c,e
ConTillDrain3,lettuce,0.990765503,high,contill,CS,CS,6.3,5.39,239.8,0.8,c,e
ConTillRetired,lettuce,8.179853022,none,contill,R,CS,6.3,5.39,239.8,0.8,a,b
CoverCrop,lettuce,1.769119121,low,notill,CS,CS,6.3,5.39,239.8,0.8,c,e
Drain0,lettuce,9.084129648,none,conventional,CS,CS,6.3,5.39,239.8,0.8,a,a
Drain1,lettuce,2.882025071,low,conventional,CS,CS,6.3,5.39,239.8,0.8,b,d
Drain2,lettuce,1.69023989,medium,conventional,CS,CS,6.3,5.39,239.8,0.8,c,e
Drain3,lettuce,1.18687225,high,conventional,CS,CS,6.3,5.39,239.8,0.8,c,e
Drain0CT,lettuce,10,none,contill,CS,CS,6.3,5.39,239.8,0.8,a,a
Drain0NT,lettuce,9.545566714,none,notill,CS,CS,6.3,5.39,239.8,0.8,a,a
Drain1NT,lettuce,2.466948729,low,notill,CS,CS,6.3,5.39,239.8,0.8,b,d
Drain1Retired,lettuce,2.360915766,low,conventional,R,CS,6.3,5.39,239.8,0.8,b,d
Drain1RetiredAll,lettuce,0.766673007,low,N/A,R,CS,6.3,5.39,239.8,0.8,c,f
Drain1RetiredCT,lettuce,2.32139754,low,contill,R,CS,6.3,5.39,239.8,0.8,b,d
Drain1RetiredNT,lettuce,1.924984621,low,notill,R,CS,6.3,5.39,239.8,0.8,c,e
